******************************************************************************************
MOLECULAR-DYNAMICS SIMULATION FOR copper nanorod (100) big PBC 1K
******************************************************************************************

 DATE AND TIME: 2012.06.03 18:00:11

MDSL   , IAVL, IPPL, ISCAL, IPD, TE  , NA , LAYER, IPBC, PP(1), PP(2), PP(3)
3000 , 100 , 500 , 2    , 0  , 1.0 , 147, 6    , 1   , 0.0  , 0.0  , 25.27

  INITIAL COORDINATES:
 1.805 , 0.0   , 1.805 , 3.61 , 3.61 , 3.61 , 2 , 3 , 7
 3.61  , 0.0   , 0.0   , 3.61 , 3.61 , 3.61 , 1 , 1 , 7
 0.0   , 1.805 , 1.805 , 3.61 , 3.61 , 3.61 , 3 , 2 , 7
 1.805 , 1.805 , 0.0   , 3.61 , 3.61 , 3.61 , 2 , 2 , 7
 0.0   , 3.61  , 0.0   , 3.61 , 3.61 , 3.61 , 3 , 1 , 7
 3.61  , 7.22  , 0.0   , 3.61 , 3.61 , 3.61 , 1 , 1 , 7
******************************************************************************************

  NUMBER OF MOVING ATOMS: NA= 147
  NUMBER OF TOTAL ATOMS: NN= 147

  INITIAL COORDINATES OF ALL ATOMS: (X,Y,Z)

  146      1.80500      3.61000     23.46500
  147      5.41500      3.61000     23.46500
******************************************************************************************


  INITIAL COORDINATES, FORCES AND ENERGIES:

     I       X             Y             Z            FX             FY             FZ             EE
  ------  ---------  ------------  ------------  ------------   ------------   ------------   ------------

     1     3.61000       0.00000       0.00000   2.81025e-016  -3.66071e-001  -9.06913e-015  -2.12925e+000
     2     1.80500       1.80500       0.00000   1.42292e-001   1.42292e-001  -1.12722e-014  -2.86257e+000
     3     1.80500       5.41500       0.00000   1.42292e-001  -1.42292e-001  -1.12167e-014  -2.86257e+000
     4     5.41500       1.80500       0.00000  -1.42292e-001   1.42292e-001  -1.15186e-014  -2.86257e+000
     5     5.41500       5.41500       0.00000  -1.42292e-001  -1.42292e-001  -1.14075e-014  -2.86257e+000
     6     0.00000       3.61000       0.00000  -3.66071e-001   2.42861e-016  -9.01829e-015  -2.12925e+000
     7     3.61000       3.61000       0.00000   1.11022e-016   5.55112e-017  -1.28231e-014  -3.45303e+000
     8     7.22000       3.61000       0.00000   3.66071e-001   5.69464e-016  -8.52096e-015  -2.12925e+000
     9     3.61000       7.22000       0.00000   5.89806e-016   3.66071e-001  -8.75688e-015  -2.12925e+000
    10     3.61000       1.80500       1.80500  -1.31839e-016   3.94290e-001  -1.25733e-014  -3.20392e+000
    11     3.61000       5.41500       1.80500   3.46945e-018  -3.94290e-001  -1.26010e-014  -3.20392e+000
    12     7.22000       1.80500       1.80500   4.07953e-001  -1.73341e-001  -6.74460e-015  -1.78772e+000
    13     7.22000       5.41500       1.80500   4.07953e-001   1.73341e-001  -6.64052e-015  -1.78772e+000
    14     1.80500       3.61000       1.80500   3.94290e-001  -1.05818e-016  -1.26774e-014  -3.20392e+000
    15     1.80500       7.22000       1.80500  -1.73341e-001   4.07953e-001  -6.71484e-015  -1.78772e+000
    16     5.41500       0.00000       1.80500   1.73341e-001  -4.07953e-001  -6.66741e-015  -1.78772e+000
    17     5.41500       3.61000       1.80500  -3.94290e-001   5.66496e-017  -1.25455e-014  -3.20392e+000
    18     5.41500       7.22000       1.80500   1.73341e-001   4.07953e-001  -6.73680e-015  -1.78772e+000
    19     1.80500       0.00000       1.80500  -1.73341e-001  -4.07953e-001  -6.69489e-015  -1.78772e+000
    20     0.00000       1.80500       1.80500  -4.07953e-001  -1.73341e-001  -6.70265e-015  -1.78772e+000
    21     0.00000       5.41500       1.80500  -4.07953e-001   1.73341e-001  -6.70265e-015  -1.78772e+000
    22     5.41500       5.41500       3.61000  -1.42292e-001  -1.42292e-001  -1.21678e-014  -2.86257e+000
    23     1.80500       5.41500       3.61000   1.42292e-001  -1.42292e-001  -1.24192e-014  -2.86257e+000
    24     0.00000       3.61000       3.61000  -3.66071e-001  -2.48486e-016  -9.79345e-015  -2.12925e+000
    25     1.80500       1.80500       3.61000   1.42292e-001   1.42292e-001  -1.25624e-014  -2.86257e+000
    26     3.61000       3.61000       3.61000  -4.39319e-016  -4.89571e-016  -1.34103e-014  -3.45303e+000
    27     5.41500       1.80500       3.61000  -1.42292e-001   1.42292e-001  -1.23946e-014  -2.86257e+000
    28     7.22000       3.61000       3.61000   3.66071e-001   9.83499e-017  -9.45901e-015  -2.12925e+000
    29     3.61000       0.00000       3.61000  -2.43071e-016  -3.66071e-001  -9.69607e-015  -2.12925e+000
    30     3.61000       7.22000       3.61000   8.54419e-017   3.66071e-001  -9.38128e-015  -2.12925e+000
    31     1.80500       7.22000       5.41500  -1.73341e-001   4.07953e-001  -7.54888e-015  -1.78772e+000
    32     3.61000       1.80500       5.41500   6.28833e-017   3.94290e-001  -1.31150e-014  -3.20392e+000
    33     5.41500       7.22000       5.41500   1.73341e-001   4.07953e-001  -7.13211e-015  -1.78772e+000
    34     3.61000       5.41500       5.41500   2.46561e-016  -3.94290e-001  -1.32430e-014  -3.20392e+000
    35     1.80500       3.61000       5.41500   3.94290e-001   3.46540e-017  -1.30993e-014  -3.20392e+000
    36     7.22000       1.80500       5.41500   4.07953e-001  -1.73341e-001  -7.67709e-015  -1.78772e+000
    37     5.41500       0.00000       5.41500   1.73341e-001  -4.07953e-001  -6.45276e-015  -1.78772e+000
    38     7.22000       5.41500       5.41500   4.07953e-001   1.73341e-001  -7.12479e-015  -1.78772e+000
    39     1.80500       0.00000       5.41500  -1.73341e-001  -4.07953e-001  -6.91026e-015  -1.78772e+000
    40     0.00000       1.80500       5.41500  -4.07953e-001  -1.73341e-001  -7.08045e-015  -1.78772e+000
    41     5.41500       3.61000       5.41500  -3.94290e-001   2.18751e-016  -1.31612e-014  -3.20392e+000
    42     0.00000       5.41500       5.41500  -4.07953e-001   1.73341e-001  -6.51329e-015  -1.78772e+000
    43     1.80500       5.41500       7.22000   1.42292e-001  -1.42292e-001  -1.02305e-014  -2.86257e+000
    44     3.61000       0.00000       7.22000   1.39489e-015  -3.66071e-001  -8.08433e-015  -2.12925e+000
    45     3.61000       3.61000       7.22000   1.16943e-015   1.21187e-015  -1.05789e-014  -3.45303e+000
    46     5.41500       5.41500       7.22000  -1.42292e-001  -1.42292e-001  -8.70516e-015  -2.86257e+000
    47     1.80500       1.80500       7.22000   1.42292e-001   1.42292e-001  -1.15907e-014  -2.86257e+000
    48     7.22000       3.61000       7.22000   3.66071e-001   1.72334e-015  -7.42359e-015  -2.12925e+000
    49     5.41500       1.80500       7.22000  -1.42292e-001   1.42292e-001  -1.01540e-014  -2.86257e+000
    50     0.00000       3.61000       7.22000  -3.66071e-001   1.39379e-015  -8.02646e-015  -2.12925e+000
    51     3.61000       7.22000       7.22000   1.72433e-015   3.66071e-001  -7.45325e-015  -2.12925e+000
    52     1.80500       0.00000       9.02500  -1.73341e-001  -4.07953e-001  -6.58991e-015  -1.78772e+000
    53     5.41500       3.61000       9.02500  -3.94290e-001   1.49880e-015  -1.51172e-014  -3.20392e+000
    54     3.61000       1.80500       9.02500   1.36013e-015   3.94290e-001  -1.38151e-014  -3.20392e+000
    55     1.80500       3.61000       9.02500   3.94290e-001   1.38621e-015  -1.36349e-014  -3.20392e+000
    56     5.41500       0.00000       9.02500   1.73341e-001  -4.07953e-001  -7.46406e-015  -1.78772e+000
    57     3.61000       5.41500       9.02500   1.53421e-015  -3.94290e-001  -1.52151e-014  -3.20392e+000
    58     0.00000       1.80500       9.02500  -4.07953e-001  -1.73341e-001  -6.55378e-015  -1.78772e+000
    59     5.41500       7.22000       9.02500   1.73341e-001   4.07953e-001  -8.02152e-015  -1.78772e+000
    60     7.22000       1.80500       9.02500   4.07953e-001  -1.73341e-001  -7.26937e-015  -1.78772e+000
    61     1.80500       7.22000       9.02500  -1.73341e-001   4.07953e-001  -7.20838e-015  -1.78772e+000
    62     0.00000       5.41500       9.02500  -4.07953e-001   1.73341e-001  -7.39949e-015  -1.78772e+000
    63     7.22000       5.41500       9.02500   4.07953e-001   1.73341e-001  -8.03806e-015  -1.78772e+000
    64     3.61000       3.61000      10.83000   3.73393e-016   3.87291e-016  -1.27012e-014  -3.45303e+000
    65     1.80500       1.80500      10.83000   1.42292e-001   1.42292e-001  -1.21009e-014  -2.86257e+000
    66     3.61000       0.00000      10.83000   6.37082e-016  -3.66071e-001  -9.25718e-015  -2.12925e+000
    67     0.00000       3.61000      10.83000  -3.66071e-001   5.74872e-016  -9.25129e-015  -2.12925e+000
    68     7.22000       3.61000      10.83000   3.66071e-001   9.13535e-016  -9.24180e-015  -2.12925e+000
    69     1.80500       5.41500      10.83000   1.42292e-001  -1.42292e-001  -1.20429e-014  -2.86257e+000
    70     5.41500       5.41500      10.83000  -1.42292e-001  -1.42292e-001  -1.20818e-014  -2.86257e+000
    71     5.41500       1.80500      10.83000  -1.42292e-001   1.42292e-001  -1.20709e-014  -2.86257e+000
    72     3.61000       7.22000      10.83000   9.17994e-016   3.66071e-001  -9.28636e-015  -2.12925e+000
    73     5.41500       7.22000      12.63500   1.73341e-001   4.07953e-001   5.85770e-015  -1.78772e+000
    74     1.80500       7.22000      12.63500  -1.73341e-001   4.07953e-001   5.75100e-015  -1.78772e+000
    75     3.61000       1.80500      12.63500   5.54136e-016   3.94290e-001   1.14783e-014  -3.20392e+000
    76     7.22000       5.41500      12.63500   4.07953e-001   1.73341e-001   5.75655e-015  -1.78772e+000
    77     0.00000       1.80500      12.63500  -4.07953e-001  -1.73341e-001   5.82004e-015  -1.78772e+000
    78     5.41500       3.61000      12.63500  -3.94290e-001   6.76719e-016   1.16402e-014  -3.20392e+000
    79     5.41500       0.00000      12.63500   1.73341e-001  -4.07953e-001   5.85441e-015  -1.78772e+000
    80     3.61000       5.41500      12.63500   7.13352e-016  -3.94290e-001   1.15425e-014  -3.20392e+000
    81     1.80500       3.61000      12.63500   3.94290e-001   4.66208e-016   1.15437e-014  -3.20392e+000
    82     0.00000       5.41500      12.63500  -4.07953e-001   1.73341e-001   5.77380e-015  -1.78772e+000
    83     1.80500       0.00000      12.63500  -1.73341e-001  -4.07953e-001   5.85397e-015  -1.78772e+000
    84     7.22000       1.80500      12.63500   4.07953e-001  -1.73341e-001   5.77811e-015  -1.78772e+000
    85     0.00000       3.61000      14.44000  -3.66071e-001   2.69318e-016   1.29441e-014  -2.12925e+000
    86     5.41500       5.41500      14.44000  -1.42292e-001  -1.42292e-001   1.78634e-014  -2.86257e+000
    87     1.80500       1.80500      14.44000   1.42292e-001   1.42292e-001   1.76846e-014  -2.86257e+000
    88     7.22000       3.61000      14.44000   3.66071e-001   5.88831e-016   1.35524e-014  -2.12925e+000
    89     1.80500       5.41500      14.44000   1.42292e-001  -1.42292e-001   1.77125e-014  -2.86257e+000
    90     3.61000       0.00000      14.44000   2.48526e-016  -3.66071e-001   1.30605e-014  -2.12925e+000
    91     3.61000       3.61000      14.44000   7.50276e-017   7.15713e-017   1.74234e-014  -3.45303e+000
    92     5.41500       1.80500      14.44000  -1.42292e-001   1.42292e-001   1.78796e-014  -2.86257e+000
    93     3.61000       7.22000      14.44000   5.80306e-016   3.66071e-001   1.35033e-014  -2.12925e+000
    94     0.00000       1.80500      16.24500  -4.07953e-001  -1.73341e-001   4.01128e-015  -1.78772e+000
    95     1.80500       0.00000      16.24500  -1.73341e-001  -4.07953e-001   3.98329e-015  -1.78772e+000
    96     7.22000       1.80500      16.24500   4.07953e-001  -1.73341e-001   3.49518e-015  -1.78772e+000
    97     3.61000       1.80500      16.24500   1.94838e-016   3.94290e-001   7.62760e-015  -3.20392e+000
    98     5.41500       0.00000      16.24500   1.73341e-001  -4.07953e-001   4.32191e-015  -1.78772e+000
    99     5.41500       7.22000      16.24500   1.73341e-001   4.07953e-001   3.88836e-015  -1.78772e+000
   100     5.41500       3.61000      16.24500  -3.94290e-001   3.81694e-016   7.54555e-015  -3.20392e+000
   101     7.22000       5.41500      16.24500   4.07953e-001   1.73341e-001   3.93039e-015  -1.78772e+000
   102     0.00000       5.41500      16.24500  -4.07953e-001   1.73341e-001   4.35795e-015  -1.78772e+000
   103     3.61000       5.41500      16.24500   3.59955e-016  -3.94290e-001   7.47980e-015  -3.20392e+000
   104     1.80500       3.61000      16.24500   3.94290e-001   2.46223e-016   7.60028e-015  -3.20392e+000
   105     1.80500       7.22000      16.24500  -1.73341e-001   4.07953e-001   3.62424e-015  -1.78772e+000
   106     5.41500       1.80500      18.05000  -1.42292e-001   1.42292e-001   1.31006e-014  -2.86257e+000
   107     1.80500       5.41500      18.05000   1.42292e-001  -1.42292e-001   1.31790e-014  -2.86257e+000
   108     7.22000       3.61000      18.05000   3.66071e-001   9.14754e-016   1.00167e-014  -2.12925e+000
   109     5.41500       5.41500      18.05000  -1.42292e-001  -1.42292e-001   1.30889e-014  -2.86257e+000
   110     3.61000       3.61000      18.05000   4.16334e-016   4.00775e-016   1.40920e-014  -3.45303e+000
   111     0.00000       3.61000      18.05000  -3.66071e-001   5.78327e-016   1.00172e-014  -2.12925e+000
   112     1.80500       1.80500      18.05000   1.42292e-001   1.42292e-001   1.30810e-014  -2.86257e+000
